Data Extraída,Valor Total,Objeto,Data de Celebração,Objetivo
26 de MARÇO de 2024,30000.0,"PATROCÍNIO AO PROJETO ""PAIXÃO DE CRISTO - VIDA, PAIXÃO E RESSURREIÇÃO DE JESUS, NO MUNICÍPIO DE VALENÇA(PI)",2023-03-25,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO PAIXÃO DE CRISTO - VIDA, PAIXÃO E RESSURREIÇÃO DE JESUS, A SER REALIZADO NO DIA 26 DE MARÇO DE 2024, NO MUNICÍPIO DE VALENÇA(PI)."
24 de MARÇO de 2024,30000.0,"PATROCÍNIO AO PROJETO VIA DOLOROSA: PAIXÃO E MORTE DE CRISTO 2ª EDIÇÃO-2024, NO MUNICÍPIO DE PORTO ALEGRE DO PIAUÍ",2024-03-22,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO VIA DOLOROSA: PAIXÃO E MORTE DE CRISTO - 2ª EDIÇÃO, A SER REALIZADO NO DIA 24 DE MARÇO DE 2024, NO MUNICÍPIO DE PORTO ALEGRE DO PIAUÍ(PI)."
29 de MARÇO de 2024,30000.0,"PATROCÍNIO REFERENTE AO PROJETO PAIXÃO DE CRISTO - A VIA SACRA DO PIAUÍ 2024, NO MUNICÍPIO DE TERESINA(PI)",2024-03-26,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO: PAIXÃO DE CRISTO - A VIA SACRA DO PIAUÍ 2024, A SER REALIZADO NO PERÍODO DE 27 A 29 DE MARÇO DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
06 de ABRIL de 2024,30000.0,"PATROCÍNIO REFERENTE AO PROJETO PAIXÃO DE CRISTO DO CIDADE JARDIM, NO MUNICÍPIO DE TERESINA(PI)",2024-03-23,"PATROCÍNIO PARA REALIZAÇÃO DO EVENTO PAIXÃO DE CRISTO DO CIDADE JARDIM, A SER REALIZADO NO DIA 06 DE ABRIL DE 2024, NO MUNICÍPIO DE TERESINA(PI)."
08 de junho de 2024,40000.0,APRESENTAÇÃO DO CANTOR WALDO RAMOS NOS FESTEJOS DO MUNICÍPIO DE NAZÁRIA/PI,2024-06-05,"Apresentação artística do CANTOR WALDO RAMOS, no dia 08 de junho de 2024, nos Festejos do Sagrado Coração de Jesus no município de Nazaria ¿PI."
30 de JUNHO de 2024,40000.0,Apresentação DUDU NOGUEIRA nos FESTEJOS DO SAGRADO CORAÇÃO DE JESUS - PATOS/PI,2024-06-18,"Apresentação da banda DUDU NOGUEIRA no encerramento dos FESTEJOS DO SAGRADO CORAÇÃO, município de PATOS/PI, que acontecerá no dia 30 de JUNHO de 2024."
18 de FEVEREIRO de 2023,40000.0,"CARNAVAL DE BARRAS, NO MUNICÍPIO DE BARRAS(PI)",2023-02-16,"REALIZAÇÃO DO CARNAVAL DE BARRAS, NO MUNICÍPIO DE BARRAS(PI), DIA 18 DE FEVEREIRO DE 2023, COM  SHOW ARTISTICO DE DAMASIO NETO NA PRAÇA PRINCIPAL DE BARRAS/PI"
31 de julho de 2024,40000.0,"concessão de patrocínio para a realização do evento Campeonato de Futsal Infanto-Juvenil, a ser realizado no período de 15 à 31 de julho de 2024. no município de Teresina-PI.",2024-06-18,"Concessão de patrocínio para a realização do evento Campeonato de Futsal Infanto-Juvenil, a ser realizado no período de 15 à 31 de julho de 2024."
27 de Dezembro de 2023,40000.0,"Contratação de serviços artísticos musical da banda/artista Damásio Neto para realização de apresentação artística (SHOW) em Cocal dos Alves/PI, no dia 27 de Dezembro de 2023",,"Contratação de serviços artísticos musical da banda/artista Damásio Neto para realização de apresentação artística (SHOW) em Cocal dos Alves/PI, no dia 27 de Dezembro de 2023"
21/10/2023,40000.0,¿FESTA DO LEITE CARAUBAS/PI  DAMÁSIO NETO - PIAUÍ DIA 21/10/2023,2023-10-20,"FESTA DO LEITE CARAUBAS/PI ¿ DAMÁSIO NETO - PIAUÍ DIA 21/10/2023,"
